D_Street.f;268:4.579800435522374E-4
Media.f;180:4.5683331280421143E-4
Adventures_Outside_of_Davis.f;3369:4.566277274090011E-4
Sycamore_Lane.f;1828:4.546958832160615E-4
Davisites.f;6052:4.528426850608678E-4
School_of_Medicine.f;701:4.501325186709968E-4
I-80.f;6101:4.482523736841401E-4
Sudwerk.f;1169:4.478726788560811E-4
Oak_Tree_Plaza.f;752:4.469895767625272E-4
Grace_Valley_Christian_Center.f;859:4.4462611240583957E-4
Cafe_Roma.f;1087:4.423302173553495E-4
Davis_Senior_Center.f;1152:4.4093549348809435E-4
The_Greenbelt.f;61:4.342774830020319E-4
Transportation.f;102:4.221857345763349E-4
Olive_Drive.f;314:4.210715327481513E-4
Putah_Creek_Lodge.f;2990:4.199235316326573E-4
Counseling_and_Psychological_Services.f;3271:4.1925155203749177E-4
Campus_Art.f;68:4.179817883310791E-4
Yolo_County_Board_of_Supervisors.f;5818:4.1470890730190615E-4
Old_Davis_Road.f;23:4.1298650456676175E-4
Sacramento_Valley.f;746:4.11913705526882E-4
The_Graduate.f;496:4.1169215866810883E-4
1996.f;788:4.091959399622105E-4
Chen_Building.f;6310:4.077328149427169E-4
Graduate_School_of_Management.f;778:4.061613937398848E-4
Lake_Berryessa.f;3406:4.028371066956654E-4
Capay_Valley.f;3808:4.022023867418826E-4
1995.f;877:4.014237208131141E-4
Olson_Hall.f;1374:4.009433497872768E-4
Student_Focus.f;2352:3.994480457764159E-4
Graduate_Student_Association.f;139:3.98599592233929E-4
1990.f;864:3.9813963252015327E-4
Volunteer_Opportunities.f;119:3.960911805903609E-4
Sacramento_International_Airport.f;3092:3.950523857226952E-4
1997.f;878:3.937105957375388E-4
E_Street_Plaza.f;6277:3.924546202521231E-4
Freshmen.f;1627:3.917734931643216E-4
Automobile_Repair.f;1404:3.901652847707681E-4
8th_Street.f;340:3.900999701732381E-4
L_Street.f;1453:3.8978824842116224E-4
Farmer%27s_Market.f;882:3.89178935934962E-4
Davis_Cemetery.f;1840:3.869757433814933E-4
Westlake_Plaza.f;2060:3.836372820626891E-4
El_Macero.f;1869:3.833810240440451E-4
Woodland_Corn_Maze.f;3391:3.8289928153456136E-4
Davis_Art_Center.f;3145:3.822866091110118E-4
Woodstock%27s_Pizza.f;1417:3.8084764647579154E-4
SPAC.f;2148:3.8070698625731987E-4
Storer_Hall.f;305:3.7993380858566256E-4
Living_Cheaply.f;129:3.7903813889762783E-4
Townies.f;105:3.7838171413397066E-4
College_of_Letters_and_Science.f;667:3.782223814100948E-4
1992.f;876:3.780493530288397E-4
Cowell_Boulevard.f;4713:3.7584327506266633E-4
1975.f;721:3.751610744526379E-4
Dutton_Hall.f;7553:3.74975312930564E-4
Oxford_Circle_Dining_Commons.f;3539:3.7082709715047544E-4
The_Dairy.f;8391:3.695343628512462E-4
Covell_Greenbelt.f;3635:3.6903569832733653E-4
Sororities.f;921:3.6899230588948356E-4
November_18%2C_2011_UC_Davis_Police_Response_to_Occupy_UC_Davis.f;182:3.662131732574709E-4
Holmes_Junior_High_School.f;1877:3.643740510213842E-4
Waterbirds.f;10235:3.639299290647951E-4
Bar_Taboos.f;5122:3.632226465647271E-4
1991.f;874:3.6282675841120077E-4
UC_San_Diego.f;10938:3.62333153795522E-4
Hart_Hall.f;823:3.619340144618724E-4
1994.f;872:3.617826226051932E-4
El_Macero_Country_Club.f;13222:3.615912489543589E-4
1971.f;724:3.609165915044839E-4
Hiking_and_Backpacking.f;3383:3.6031027865248967E-4
Rob_Roy.f;1071:3.592040420930935E-4
UC_Irvine.f;3376:3.588228451446871E-4
restaurant.f;1556:3.5810899229593075E-4
Costco.f;4120:3.57251488367041E-4
